participant,variant,text,accuracy,disfl,no,stimuli
Lazzat_number8,2,2,0.53,,,no
Lazzat_number8,2,3,1,1,1,yes
Lazzat_number8,2,4,0.7,0.8,0.6,yes
Lazzat_number9,2,1,0.33,,,no
Lazzat_number9,2,3,0.4,0.2,0.6,yes
Lazzat_number10,2,1,0.08,,,no
Lazzat_number10,2,3,0.7,0.6,0.8,yes
Lazzat_number11,2,2,0.76,,,no
Lazzat_number11,2,4,0.4,0.4,0.4,yes
Lazzat_number12,2,2,0.9,,,no
Lazzat_number12,2,4,0.9,0.8,0.9,yes
